직업,2009_04신규구인인원,2009_04신규구직건수,취업건수,2009_04취업률,2009_05신규구인인원,2009_05신규구직건수,취업건수,2009_05취업률,2009_06신규구인인원,2009_06신규구직건수,취업건수,2009_06취업률,2009_07신규구인인원,2009_07신규구직건수,취업건수,2009_07취업률,2009_08신규구인인원,2009_08신규구직건수,취업건수,2009_08취업률,2009_09신규구인인원,2009_09신규구직건수,취업건수,2009_09취업률,2009_10신규구인인원,2009_10신규구직건수,취업건수,2009_10취업률,2009_11신규구인인원,2009_11신규구직건수,취업건수,2009_11취업률,2009_12신규구인인원,2009_12신규구직건수,취업건수,2009_12취업률,2010_01신규구인인원,2010_01신규구직건수,취업건수,2010_01취업률,2010_02신규구인인원,2010_02신규구직건수,취업건수,2010_02취업률,2010_03신규구인인원,2010_03신규구직건수,취업건수,2010_03취업률,2015_05신규구인인원,2015_05신규구직건수,취업건수,2015_05취업률,2015_06신규구인인원,2015_06신규구직건수,취업건수,2015_06취업률,2015_07신규구인인원,2015_07신규구직건수,취업건수,2015_07취업률,2015_08신규구인인원,2015_08신규구직건수,취업건수,2015_08취업률,2015_09신규구인인원,2015_09신규구직건수,취업건수,2015_09취업률,2015_10신규구인인원,2015_10신규구직건수,취업건수,2015_10취업률,2015_11신규구인인원,2015_11신규구직건수,취업건수,2015_11취업률,2015_12신규구인인원,2015_12신규구직건수,취업건수,2015_12취업률,2020_01신규구인인원,2020_01신규구직건수,취업건수,2020_01취업률,2020_02신규구인인원,2020_02신규구직건수,취업건수,2020_02취업률,2020_03신규구인인원,2020_03신규구직건수,취업건수,2020_03취업률,2020_04신규구인인원,2020_04신규구직건수,취업건수,2020_04취업률
계,93667,230584,58628,25.4,90168,202097,50878,25.2,104817,256611,64872,25.3,105117,236427,59245,25.1,119408,215866,54180,25.1,120225,228405,70445,30.8,122612,203845,56862,27.9,118487,190937,55773,29.2,107166,232140,46513,20,114215,255456,41733,16.3,130223,200137,50238,25.1,184358,266910,73973,27.7,122386,219804,70033,31.9,150426,245213,77943,31.8,127293,283965,76997,27.1,134096,217781,66270,30.4,135974,227142,71466,31.5,147264,250155,71964,28.8,132268,218446,71039,32.5,152070,246086,63112,25.6,109209,302518,55405,18.3,112935,244566,60175,24.6,97697,292051,64645,22.1,78549,266717,56940,21.3
관리직,456,5088,1141,22.4,530,4986,960,19.3,3210,9611,1517,15.8,3348,9177,1873,20.4,3499,8758,1946,22.2,3761,10221,2681,26.2,3616,9466,2419,25.6,3244,9001,2432,27,3431,9529,2181,22.9,3929,10296,1889,18.3,4305,9723,2319,23.9,6152,12223,2977,24.4,1435,14526,4935,34,824,13753,5299,38.5,720,16455,4666,28.4,948,12403,4031,32.5,930,12993,4081,31.4,1249,14993,4045,27,1162,11818,3759,31.8,1294,13861,3583,25.8,607,8927,1383,15.5,680,7090,1686,23.8,537,7848,1621,20.7,571,7948,1596,20.1
경영회계사무,15472,60752,14885,24.5,14777,56042,13619,24.3,18508,71479,17082,23.9,16975,64578,15973,24.7,18195,60412,14351,23.8,18892,63626,18710,29.4,18918,57941,15147,26.1,18695,53275,14788,27.8,17002,59280,12755,21.5,18332,64315,11216,17.4,19880,52958,13587,25.7,27841,69984,17856,25.5,19044,55080,16807,30.5,24261,61693,19342,31.4,21127,69878,18737,26.8,20861,54138,16018,29.6,19759,57544,17113,29.7,23822,64148,17640,27.5,20922,55773,17327,31.1,19709,61074,16135,26.4,15383,73894,13167,17.8,15327,63954,15054,23.5,13660,70670,14906,21.1,11795,67891,14080,20.7
금융보험,380,2481,450,18.1,188,2052,486,23.7,443,2333,463,19.8,525,2618,602,23,412,2112,511,24.2,315,2175,596,27.4,465,2236,436,19.5,357,1825,428,23.5,448,1819,377,20.7,364,2146,353,16.4,651,1693,418,24.7,924,2152,537,25,358,1959,493,25.2,356,2047,624,30.5,420,2622,585,22.3,280,1959,457,23.3,374,1850,479,25.9,345,2211,491,22.2,426,1787,415,23.2,228,1923,460,23.9,228,2401,354,14.7,275,2032,372,18.3,286,1894,399,21.1,278,1997,378,18.9
교육과학연구,1128,4185,1203,28.7,1019,3341,917,27.4,1522,5777,950,16.4,2771,4583,732,16,1622,4139,937,22.6,1572,5197,1742,33.5,1398,3508,826,23.5,1369,3637,895,24.6,1457,5038,572,11.4,1778,6055,608,10,1878,3982,1054,26.5,2688,9117,3257,35.7,881,4866,1582,32.5,1013,6944,1616,23.3,1042,6983,1457,20.9,1068,5074,1785,35.2,970,8620,2303,26.7,1215,5971,1524,25.5,1228,4630,1037,22.4,1452,7329,876,12,1647,7997,658,8.2,1173,6057,795,13.1,676,12903,3043,23.6,629,6838,1296,19.0
법률소방교도,111,806,224,27.8,90,742,173,23.3,130,902,242,26.8,137,849,188,22.1,124,772,198,25.6,146,787,202,25.7,120,718,193,26.9,133,668,166,24.9,102,700,147,21,122,691,135,19.5,150,569,150,26.4,168,722,190,26.3,220,919,264,28.7,217,939,331,35.3,228,1102,292,26.5,177,840,283,33.7,163,922,244,26.5,181,994,267,26.9,163,951,242,25.4,174,962,234,24.3,135,1278,196,15.3,145,1077,258,24.0,115,1175,261,22.2,106,1164,231,19.8
보건의료,1461,8049,2028,25.2,1250,6787,1752,25.8,1640,8611,2184,25.4,2156,8393,1963,23.4,1929,8137,1935,23.8,2138,8650,2419,28,2617,6898,2029,29.4,2454,6614,2004,30.3,2278,8013,1738,21.7,2188,10788,1639,15.2,2275,10499,2031,19.3,3118,11844,2746,23.2,4391,11630,4249,36.5,4870,12727,4469,35.1,5268,16041,3969,24.7,5416,14741,3609,24.5,5306,13785,3965,28.8,6766,14065,4113,29.2,5811,12751,4341,34,5758,13790,3791,27.5,8303,25203,5307,21.1,7915,21597,5005,23.2,5973,22554,4519,20.0,5492,21270,4054,19.1
사회복지및종교,1480,5967,1741,29.2,1645,4930,1509,30.6,2030,6886,1645,23.9,1696,5533,1624,29.4,1880,5346,1438,26.9,1743,5951,1884,31.7,1503,4837,1230,25.4,2158,4540,1372,30.2,2373,6120,1005,16.4,2692,6994,1206,17.2,2684,5495,1821,33.1,3502,11370,3299,29,1511,6281,2306,36.7,2077,8259,2520,30.5,2050,8452,2608,30.9,2401,6573,2629,40,2258,8434,3177,37.7,2370,7452,2518,33.8,2267,6226,2011,32.3,3377,7850,1623,20.7,5792,16366,3097,18.9,4956,12352,2662,21.6,2821,27287,4649,17.0,2339,13889,2865,20.6
문화방송예술,3462,11938,2905,24.3,2599,9345,1973,21.1,3655,12305,2434,19.8,3370,11565,2532,21.9,3473,11065,2370,21.4,3486,11369,3032,26.7,3568,9272,2398,25.9,3317,8933,2397,26.8,3475,10157,2070,20.4,3482,10216,1646,16.1,3589,10755,1983,18.4,5391,13604,2960,21.8,3853,11270,3073,27.3,4301,12645,3658,28.9,4029,14352,3347,23.3,4006,11414,3021,26.5,3785,11758,3275,27.9,4481,12362,3193,25.8,4087,10888,3208,29.5,3937,12092,2985,24.7,2626,13686,1842,13.5,2662,12283,2228,18.1,2332,13078,2483,19.0,1928,12972,2395,18.5
운전및운송,2566,11782,3202,27.2,2835,10741,2918,27.2,2960,12786,3881,30.4,3150,11828,3777,31.9,3740,10825,3367,31.1,3734,11199,4187,37.4,3852,10573,3489,33,3487,9710,3459,35.6,3200,10799,2853,26.4,3630,11018,2359,21.4,4074,8488,2680,31.6,5608,11468,3646,31.8,6611,9143,3657,40,6508,10616,4109,38.7,5618,11686,4637,39.7,6436,8986,3595,40,5676,8394,3714,44.2,7620,10157,3813,37.5,6483,9277,3961,42.7,6899,10230,3391,33.1,5780,12445,2821,22.7,5563,10277,3292,32.0,4543,12476,3256,26.1,3993,11997,2982,24.9
영업원및판매,7192,12678,3069,24.2,6309,10904,2733,25.1,6000,12872,3457,26.9,6427,11946,3030,25.4,7914,10606,2543,24,7183,11126,3409,30.6,7360,9753,2656,27.2,6467,8790,2693,30.6,5213,8711,2083,23.9,5935,8695,1760,20.2,6773,7283,1811,24.9,8896,9369,2271,24.2,6399,8690,2302,26.5,7799,9736,2503,25.7,6866,11372,2682,23.6,7367,8777,2396,27.3,7266,8987,2558,28.5,8465,10431,2708,26,6852,9172,2808,30.6,5799,9711,2433,25.1,3963,12766,1934,15.1,3766,11356,1981,17.4,3307,13883,1978,14.2,3264,13807,1942,14.1
경비및청소,3510,14452,3637,25.2,3222,10954,3072,28,3811,13228,4704,35.6,3668,13549,3631,26.8,4770,10920,3183,29.1,4807,12463,3841,30.8,4945,11747,3221,27.4,4688,11432,3411,29.8,4889,16271,2795,17.2,4029,17214,2962,17.2,4651,9847,3151,32,6043,15392,4804,31.2,3934,12351,4208,34.1,5127,14058,4614,32.8,4333,19423,5254,27.1,4162,11999,3859,32.2,4196,12289,3959,32.2,4477,14417,4281,29.7,4114,13079,4341,33.2,5975,15453,3593,23.3,3947,21921,4872,22.2,3704,11041,3422,31.0,3096,13070,3480,26.6,2559,13464,2840,21.1
미용숙박오락,977,5816,798,13.7,938,4959,673,13.6,930,6745,852,12.6,901,6098,766,12.6,1098,5751,711,12.4,1154,5853,973,16.6,1059,4929,732,14.9,1027,4147,632,15.2,908,5115,512,10,893,6703,458,6.8,911,7167,618,8.6,1289,7591,988,13,1014,6165,1147,18.6,1315,6832,1290,18.9,1056,7606,1321,17.4,1135,6223,1101,17.7,927,6677,1271,19,1436,7763,1262,16.3,1785,6442,1184,18.4,999,6729,1209,18,641,7024,1499,21.3,596,6298,1033,16.4,399,7468,1039,13.9,324,7150,908,12.7
음식서비스,3420,9122,1379,15.1,3362,7858,1177,15,3366,10801,1443,13.4,3057,10417,1296,12.4,3950,9767,1252,12.8,5003,10108,1789,17.7,6864,9108,1400,15.4,5647,8681,1584,18.2,4099,10542,1191,11.3,3387,12111,905,7.5,4266,11133,1168,10.5,6569,16523,2821,17.1,4505,11905,2566,21.6,4694,13407,2839,21.2,4723,15455,2864,18.5,5739,12264,2542,20.7,4767,13051,3063,23.5,5463,14192,2863,20.2,5180,12341,2779,22.5,4314,13989,2536,18.1,4132,14701,1972,13.4,4008,12626,2107,16.7,2657,17850,2374,13.3,2597,16230,1985,12.2
건설관련직,7590,17793,4811,27,9023,16271,3775,23.2,7542,19272,4617,24,8058,18284,4244,23.2,7062,15976,3748,23.5,7354,15520,4906,31.6,8172,14977,3987,26.6,12694,15243,3822,25.1,12288,21919,3032,13.8,5756,31480,2716,8.6,7064,16910,3742,22.1,9650,18716,7311,39.1,9400,12078,4666,38.6,12613,13917,4722,33.9,10136,16440,4368,26.6,10660,11892,3748,31.5,9788,11189,3660,32.7,11196,13176,3876,29.4,10529,11934,3874,32.5,12395,15464,3055,19.8,7190,18092,2531,14.0,8781,12861,3615,28.1,7919,13596,4374,32.2,7089,12722,4048,31.8
기계관리직,8301,11707,3698,31.6,7820,10057,3279,32.6,9361,12801,4242,33.1,9885,11312,4006,35.4,11346,10761,3629,33.7,12080,11780,4790,40.7,11801,9647,3932,40.8,11497,8547,3892,45.5,9792,9095,3338,36.7,12928,9102,2609,28.7,13349,8496,2856,33.6,19580,10663,3657,34.3,13823,11092,4140,37.3,16748,11895,4827,40.6,14013,13508,4925,36.5,14004,10918,4116,37.7,13698,11454,4342,37.9,15119,12804,4678,36.5,13105,11494,4686,40.8,13554,11503,4593,39.9,9994,13420,3182,23.7,10520,11731,3626,30.9,10558,12037,3538,29.4,7563,12055,3402,28.2
재료관련직,6362,5321,1606,30.2,5960,4455,1605,36,7646,5449,1887,34.6,6904,4918,1688,34.3,8155,4548,1602,35.2,7539,4779,1943,40.7,7931,4239,1633,38.5,7169,3838,1617,42.1,6303,4214,1392,33,7243,4532,1145,25.3,7614,3884,1147,29.5,11028,4979,1598,32.1,9414,3741,1359,36.3,12407,4261,1682,39.5,9796,4946,1758,35.5,10501,3903,1505,38.6,12630,3893,1545,39.7,10361,4248,1678,39.5,9280,3776,1696,44.9,11157,4338,1507,34.7,6479,4394,938,21.3,7998,4050,1184,29.2,6586,4158,1343,32.3,4861,4014,1240,30.9
화학관련직,2705,1125,454,40.4,2757,923,338,36.6,3378,1204,435,36.1,3279,1073,422,39.3,3931,998,382,38.3,4031,1054,484,45.9,4068,997,434,43.5,3628,1016,403,39.7,3023,966,347,35.9,3465,986,285,28.9,4276,1002,301,30,6371,1204,500,41.5,4376,1729,688,39.8,5518,1935,736,38,4405,1899,792,41.7,5092,1590,644,40.5,5530,1635,720,44,5133,1845,699,37.9,4904,1643,659,40.1,5173,1660,619,37.3,3379,2379,618,26.0,3699,2097,680,32.4,3551,2157,684,31.7,2459,2351,666,28.3
섬유및의복,1582,1809,388,21.4,1132,1710,336,19.6,1562,1983,461,23.2,1520,1771,301,17,1991,1784,302,16.9,2078,1686,400,23.7,1909,1532,307,20,1854,1416,323,22.8,1383,1408,250,17.8,1739,1414,174,12.3,2124,1607,205,12.8,3326,1788,301,16.8,1391,1802,419,23.3,2356,1867,463,24.8,1217,2264,447,19.7,1458,1859,400,21.5,2084,1701,422,24.8,1669,2043,447,21.9,1273,1810,418,23.1,2206,1755,340,19.4,735,1234,176,14.3,1045,1072,191,17.8,836,1243,204,16.4,418,1584,176,11.1
전기전자,6303,11902,3873,32.5,6096,10229,3345,32.7,7822,12251,4056,33.1,6995,11674,3748,32.1,9370,10474,3591,34.3,9062,10828,4496,41.5,8880,9998,3819,38.2,7294,8852,3585,40.5,6920,8983,2962,33,8734,9300,2576,27.7,13013,8953,2970,33.2,16199,11364,4183,36.8,7174,12369,4442,35.9,8243,13219,4987,37.7,7445,15474,4786,30.9,7718,11766,4150,35.3,7582,11302,4581,40.5,8305,13420,4613,34.4,6826,11570,4542,39.3,7174,12104,4196,34.7,5322,15532,3581,23.1,5243,12995,4017,30.9,5229,13959,3622,25.9,4441,14208,3563,25.1
정보통신,1813,6455,1888,29.2,1632,6145,1748,28.4,2096,7292,2087,28.6,2051,7001,2039,29.1,1761,6130,1900,31,2139,6315,2224,35.2,2174,5391,1798,33.4,1871,4773,1692,35.4,2122,5370,1457,27.1,2196,7132,1318,18.5,2353,5881,1667,28.3,3104,6332,2011,31.8,1439,6185,2093,33.8,1765,6772,2256,33.3,1583,7790,2287,29.4,1513,5970,2052,34.4,1631,5939,1971,33.2,1913,6528,1993,30.5,2338,5785,1877,32.4,1501,6218,1901,30.6,1406,6240,1194,19.1,1243,5471,1273,23.3,1111,5422,1314,24.2,1009,5429,1382,25.5
식품가공,1325,1830,278,15.2,1086,1523,216,14.2,1560,2056,310,15.1,1558,2095,324,15.5,2216,1956,371,19,2101,1950,508,26.1,2304,1680,351,20.9,1858,1549,313,20.2,1312,1989,255,12.8,1604,2382,182,7.6,2393,2435,273,11.2,3065,2972,397,13.4,2618,2312,614,26.6,3189,2552,683,26.8,2653,3125,707,22.6,3246,2421,613,25.3,3382,2319,975,42,3350,2522,752,29.8,3035,2182,699,32,3458,2382,608,25.5,1754,3246,557,17.2,2070,2899,589,20.3,1634,2806,617,22.0,1509,2929,594,20.3
생산단순직,13230,17837,4584,25.7,12895,14958,3830,25.6,13830,17522,5111,29.2,14472,15904,4043,25.4,18981,13422,3620,27,18120,14129,4795,33.9,17423,12774,3983,31.2,16247,11970,3440,28.7,13633,15606,2920,18.7,15651,16526,2587,15.7,18853,10076,3052,30.3,28236,15246,4355,28.6,15579,12154,3618,29.8,20557,12904,3957,30.7,15156,15429,4067,26.4,16793,11036,3413,30.9,20369,11366,3751,33,18781,12757,4006,31.4,16047,11362,3883,34.2,21073,12238,3230,26.4,14839,15478,3230,20.9,17469,12063,3715,30.8,15368,13267,3580,27.0,11124,13641,3535,25.9
농림어업,2841,1681,339,20.2,2182,2180,444,20.4,1815,2443,811,33.2,2214,1261,442,35.1,1989,1206,293,24.3,1787,1627,434,26.7,1665,1623,442,27.2,1332,2479,425,17.1,1515,10495,281,2.7,4138,5359,1005,18.8,3097,1299,1234,95,5610,2283,1308,57.3,3016,1527,397,26,3567,2204,413,18.7,3409,1602,438,27.3,3115,1008,297,29.5,2903,993,292,29.4,3547,1615,492,30.5,4449,1720,1286,74.8,14464,3400,205,6,4927,3806,286,7.5,4097,1188,1378,116.0,4501,1155,1353,117.1,2199,1079,774,71.7
군인,0,8,47,587.5,821,5,0,0,0,2,1,50,0,0,1,0,0,1,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,30,8,26.7,101,31,3,9.7,0,61,3,4.9,0,27,6,22.2,0,47,5,10.6,0,41,12,29.3,2,35,6,17.1,0,31,9,29,0,72,6,8.3,0,76,10,13.2,2,76,8,10.5,2,66,7,10.6
분류불능,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,23,2,0,0,19,0,0,0,22,1,0
